# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1168.9  3.85455984588055e-21  
1169.67  3.84948656170199e-21  
1169.67  3.75201760493814e-21  
1171.21  3.74215718988984e-21  
1171.21  3.6206685208046e-21  
1171.98  3.6159124687898e-21  
1171.98  3.44602991044144e-21  
1172.75  3.44150623201556e-21  
1172.75  3.12642109481724e-21  
1173.52  3.12231966585339e-21  
1173.52  2.95290446986273e-21  
1175.07  2.94511943027443e-21  
1175.07  2.77612915393474e-21  
1175.84  2.77249444251581e-21  
1175.84  2.651938941654e-21  
1176.61  2.64846910063269e-21  
1176.61  2.76886686467195e-21  
1178.15  2.76163303514967e-21  
1178.15  2.95375321554056e-21  
1178.92  2.94989604587977e-21  
1178.92  3.21370823835725e-21  
1179.69  3.20951434376585e-21  
1179.69  3.37718358443194e-21  
1180.46  3.37277922808812e-21  
1180.46  3.51628983891407e-21  
1182.01  3.50707388350833e-21  
1182.01  3.57866259548786e-21  
1182.78  3.57400463162556e-21  
1182.78  3.55017993555601e-21  
1183.55  3.54556204984249e-21  
1183.55  3.49795322102755e-21  
1185.09  3.48886809177745e-21  
1185.09  3.41767236931438e-21  
1185.86  3.41323549927995e-21  
1185.86  3.31843110570507e-21  
1186.63  3.31412586662652e-21  
1186.63  3.33779621588254e-21  
1188.18  3.32909347787552e-21  
1188.18  3.11659453249716e-21  
1188.95  3.11255903780746e-21  
1188.95  2.87675718139362e-21  
1189.72  2.87303464800757e-21  
1189.72  2.5197789585109e-21  
1190.49  2.5165204643866e-21  
1190.49  2.28132827287709e-21  
1192.03  2.27543752157882e-21  
1192.03  2.13467814364919e-21  
1192.8  2.13192299335922e-21  
1192.8  2.0616404665417e-21  
1193.58  2.05894679853963e-21  
1193.58  2.33971801417279e-21  
1195.12  2.33369210167894e-21  
1195.12  2.75376844211868e-21  
1195.89  2.75022343535909e-21  
1195.89  3.19306419979654e-21  
1196.66  3.18895631884077e-21  
1196.66  3.23550675564869e-21  
1198.2  3.22719515761708e-21  
1198.2  3.06468716595173e-21  
1198.97  3.06075203602863e-21  
1198.97  2.73611164252742e-21  
1199.75  2.73255511269647e-21  
1199.75  2.45466850533779e-21  
1200.52  2.45152072170008e-21  
1200.52  2.22024203998656e-21  
1202.06  2.21455682871215e-21  
1202.06  2.1453363563229e-21  
1202.83  2.1425905314701e-21  
1202.83  2.25779650256125e-21  
1203.6  2.25490858763026e-21  
1203.6  2.32393132997153e-21  
1205.14  2.3179958077731e-21  
1205.14  2.13438461238466e-21  
1205.92  2.1316244266554e-21  
1205.92  1.76488724244107e-21  
1206.69  1.76263557947341e-21  
1206.69  1.46503804153886e-21  
1207.46  1.46317012110653e-21  
1207.46  1.39458180325407e-21  
1209  1.39103128521203e-21  
1209  1.52785867778264e-21  
1209.77  1.52591437963447e-21  
1209.77  1.50313883447799e-21  
1210.54  1.50122721024779e-21  
1210.54  1.47848063000325e-21  
1212.09  1.47470173616159e-21  
1212.09  1.38394796990281e-21  
1212.86  1.38219129284344e-21  
1212.86  1.3595316502406e-21  
1213.63  1.35780705990962e-21  
1213.63  1.33517616147065e-21  
1215.17  1.3317941352801e-21  
1215.17  1.53495630082941e-21  
1215.94  1.53301287907429e-21  
1215.94  1.93882681748117e-21  
1216.71  1.93637360470816e-21  
1216.71  2.56684886598209e-21  
1217.48  2.5636030654555e-21  
1217.48  3.12579281431198e-21  
1219.03  3.11784895950906e-21  
1219.03  3.31972857434638e-21  
1219.8  3.31553873305575e-21  
1219.8  3.20353614451564e-21  
1220.57  3.19949549996141e-21  
1220.57  2.99812498903147e-21  
1222.11  2.99057378098123e-21  
1222.11  2.94594194896653e-21  
1222.88  2.94223322669316e-21  
1222.88  3.12055586314161e-21  
1223.65  3.11662978622918e-21  
1223.65  3.33924763066029e-21  
1225.19  3.33085838579087e-21  
1225.19  3.53071308661354e-21  
1225.96  3.52627934438182e-21  
1225.96  3.63715921667069e-21  
1226.73  3.63259466922243e-21  
1226.73  3.80979975768587e-21  
1227.5  3.80502154877406e-21  
1227.5  3.95988402238252e-21  
1229.05  3.94990241069924e-21  
1229.05  4.01609623396915e-21  
1229.82  4.0110687892797e-21  
1229.82  4.07719958482047e-21  
1230.59  4.07209884211973e-21  
1230.59  4.09410825970836e-21  
1232.13  4.08388046465992e-21  
1232.13  4.17169820159015e-21  
1232.9  4.16648901263222e-21  
1232.9  4.21034305220471e-21  
1233.67  4.20508888795035e-21  
1233.67  4.46792419115163e-21  
1234.44  4.4623520634533e-21  
1234.44  4.54984144231358e-21  
1235.99  4.53843709069804e-21  
1235.99  4.51661956985166e-21  
1236.76  4.51099727540474e-21  
1236.76  4.38023548792437e-21  
1237.53  4.37478635611925e-21  
1237.53  4.39654961068267e-21  
1239.07  4.38562774369057e-21  
1239.07  4.58102999834504e-21  
1239.84  4.57534168733922e-21  
1239.84  4.66209013918946e-21  
1240.61  4.65630476686894e-21  
1240.61  4.85122220727436e-21  
1242.16  4.83912279500546e-21  
1242.16  4.99035145832744e-21  
1242.93  4.98417028902725e-21  
1242.93  5.30780812696684e-21  
1243.7  5.3012378172756e-21  
1243.7  5.45209219748549e-21  
1244.47  5.44534745919827e-21  
1244.47  5.55297282198875e-21  
1246.01  5.53925496498094e-21  
1246.01  5.47483154225173e-21  
1246.78  5.46807121801948e-21  
1246.78  5.403746644661e-21  
1247.56  5.39699169138413e-21  
1247.56  5.24706936587498e-21  
1249.1  5.23413924713809e-21  
1249.1  5.17005339673562e-21  
1249.87  5.16368519066924e-21  
1249.87  5.14234955308739e-21  
1250.64  5.13601936978867e-21  
1250.64  5.17863811701926e-21  
1252.18  5.16590800059875e-21  
1252.95  5.15956053757428e-21  
1252.95  5.1807914096108e-21  
1253.73  5.17434702325469e-21  
1253.73  5.23796041212004e-21  
1254.5  5.23153236630315e-21  
1256.04  5.21871172226574e-21  
1256.04  5.26098381775656e-21  
1256.81  5.25453938048226e-21  
1256.81  5.04351377882632e-21  
1257.58  5.03733951285593e-21  
1257.58  4.61578601508262e-21  
1259.12  4.60450200170864e-21  
1259.12  3.82656388560194e-21  
1259.9  3.82182732569148e-21  
1259.9  3.27584119376569e-21  
1260.67  3.27184073782373e-21  
1260.67  3.16698251767366e-21  
1262.21  3.15925927381836e-21  
1262.21  3.64046845720342e-21  
1262.98  3.63603084740488e-21  
1262.98  4.45102986846443e-21  
1263.75  4.44560751613557e-21  
1263.75  5.25959490119076e-21  
1264.52  5.25319143579454e-21  
1264.52  5.79519526936658e-21  
1266.07  5.78101429331706e-21  
1266.07  6.00975744351785e-21  
1266.84  6.00245406360644e-21  
1266.84  5.91938261767963e-21  
1267.61  5.91219343444916e-21  
1267.61  5.8499468484449e-21  
1269.15  5.83575868725285e-21  
1269.15  5.73229703497669e-21  
1269.92  5.72534773018572e-21  
1269.92  5.7460149751804e-21  
1270.69  5.73905325990045e-21  
1270.69  5.71841105477704e-21  
1271.46  5.71148697816636e-21  
1271.46  5.77333861035945e-21  
1273.01  5.75928808922847e-21  
1273.01  5.71815401959906e-21  
1273.78  5.71124286100837e-21  
1274.55  5.70434422444774e-21  
1274.55  5.66330949685658e-21  
1276.09  5.64964865158039e-21  
1276.09  5.71105226907614e-21  
1276.86  5.70416633905114e-21  
1276.86  5.64283675712597e-21  
1276.86  5.64283675712597e-21  
1277.63  5.63603717510473e-21  
1277.63  5.67687429522017e-21  
1279.18  5.66312513696422e-21  
1279.18  5.70386335123853e-21  
1279.95  5.69700268682947e-21  
1279.95  5.79874403365445e-21  
1280.72  5.79177343795399e-21  
1280.72  5.85273389089054e-21  
1281.49  5.84570262077571e-21  
1281.49  5.76451966453947e-21  
1283.03  5.75068985135046e-21  
1283.03  5.79118394536858e-21  
1283.8  5.78423913408843e-21  
1283.8  5.74379360075213e-21  
1284.58  5.73682042846697e-21  
1284.58  5.67620760175162e-21  
1286.12  5.66262235892056e-21  
1286.12  5.52155510578195e-21  
1286.89  5.5149495288059e-21  
1286.89  5.4545722248964e-21  
1287.66  5.44805068218989e-21  
1289.2  5.43504263540183e-21  
1289.2  5.49520376397959e-21  
1289.97  5.4886454036503e-21  
1289.97  5.56878253635984e-21  
1290.75  5.56205414132629e-21  
1291.52  5.55542396138544e-21  
1291.52  5.45549733625689e-21  
1293.06  5.44251037055252e-21  
1293.06  5.3827078878932e-21  
1293.83  5.37630294789995e-21  
1294.6  5.36990943306579e-21  
1294.6  5.3500226695977e-21  
1296.14  5.33731703543118e-21  
1296.14  5.17858289891107e-21  
1296.92  5.17235571451276e-21  
1296.92  5.01381245390557e-21  
1297.69  5.00786420707901e-21  
1297.69  4.94848769910985e-21  
1298.46  4.94262043212521e-21  
1298.46  4.7449156148402e-21  
1300  4.73368047337278e-21  
1300  4.43781656804734e-21  
1300.77  4.43256412931706e-21  
1300.77  3.78244101212098e-21  
1301.54  3.77796689982651e-21  
1301.54  3.08926228834498e-21  
1303.09  3.08191742541329e-21  
1303.09  2.66968418158203e-21  
1303.86  2.66653192623033e-21  
1303.86  2.84299723092832e-21  
1304.63  2.83964231519605e-21  
1304.63  3.58383489304574e-21  
1306.17  3.57538905189422e-21  
1306.17  4.49368710165113e-21  
