# Spectrum of the Sun from Kohl, Parkinson & Kurucz Atlas
# Sun center, observed, averaged
#
# My mods:
#    Used abs() for uncertain data (negative values in original)
#    Interpolated gaps  (zero in original)
#    Binned up to 0.9328 A/pix
# Wave(air)/A     ergs/cm^2/sec/nm/steradian
2617.47220537443  1397472.34594239  
2618.40506366105  2155432.89155829  
2619.33792107465  4013540.99100613  
2620.27077384069  2865858.95878669  
2621.20363516689  2983403.83680377  
2622.13648801889  2778828.91577133  
2623.06934686855  3370307.92751287  
2624.00220211113  4359715.76090873  
2624.93505832352  3039165.05298046  
2625.86791653602  1474405.46860463  
2626.80076868955  2651064.77489237  
2627.73363126784  2360056.90337557  
2628.66648063591  1714346.39672021  
2629.59934460463  2523700.58892221  
2630.53219478176  1567087.66449807  
2631.46505473067  870718.907244834  
2632.39791053557  2001038.61157189  
2633.33076485671  3469455.31283777  
2634.26362462782  5112952.68833944  
2635.19647898058  4667609.91625185  
2636.12933638381  5930280.8920323  
2637.06219307282  6348785.56933486  
2637.99504784636  8872806.382897  
2638.92790754372  8237492.59137401  
2639.86075820167  7424696.91208471  
2640.79362228313  7431557.03097803  
2641.72647004323  6345917.45681282  
2642.65933572785  11703005.6531937  
2643.59218413548  7707967.56797158  
2644.52504585389  8483039.27200175  
2645.4578998893  7597878.62419921  
2646.39075597993  5853867.50671861  
2647.32361403514  7227836.16170813  
2648.25646999586  4488832.57653707  
2649.18932589906  5571672.4439311  
2650.12218412967  6454141.46391553  
2651.05503731692  6274862.15268616  
2651.98789754461  6506799.01130699  
2652.92074873132  7385911.2449611  
2653.85361324482  6306486.98484385  
2654.78646432805  10171292.8608548  
2655.71932674387  7701856.68226228  
2656.6521784203  8956378.57037322  
2657.58503692351  8844933.26689974  
2658.51789412051  6376155.66871473  
2659.45074710315  9172737.76854997  
2660.38360823909  7969482.50003013  
2661.31646108773  5595995.4779241  
2662.24932015399  7088228.66150071  
2663.18217517998  5270262.5014307  
2664.11503159922  5880906.29796072  
2665.0478885599  8563642.67969866  
2665.98074301687  6529200.76015927  
2666.91360265215  5189388.16022174  
2667.8464553927  8196136.28189737  
2668.77931615617  7237932.25920351  
2669.71216953091  4752291.34182331  
2670.64502630095  7524883.89205665  
2671.57788526598  7985205.77215291  
2672.51073648059  3530093.73654939  
2673.44359935823  6251303.63735739  
2674.37645044146  9124910.91384662  
2675.30931127721  9339069.32526035  
2676.24216453371  9057218.28608793  
2677.1750227192  6283996.36592915  
2678.10787794775  6894345.54342603  
2679.04073410947  4237681.11471379  
2679.97359208245  5246248.46668254  
2680.90644643521  8172252.48896364  
2681.83930563656  7354106.80555166  
2682.77216058106  6879720.98173605  
2683.70501576261  6425900.04387065  
2684.63787633487  6283867.84542026  
2685.57072588865  8070047.01734761  
2686.50359042711  6950454.65470038  
2687.43643979518  6937437.1385264  
2688.36930240043  5862451.27054589  
2689.30215388743  5872510.33483546  
2690.23501385042  5824880.28021108  
2691.16786734393  6080847.93885861  
2692.10072523269  6949855.556211  
2693.03358148978  6680977.92318598  
2693.9664374505  8204354.11503688  
2694.89929515182  4902104.80259369  
2695.83215154275  4048555.41787672  
2696.76500527786  7361921.88703945  
2697.69786729656  6311415.01592456  
2698.6307154039  5143677.78073165  
2699.56358138881  9356415.74206073  
2700.49642925611  10449357.7315391  
2701.42929290004  5519307.7673926  
2702.36214391837  7717905.1597967  
2703.29500330894  8900124.47327692  
2704.22785835922  8846098.37524331  
2705.16071635591  9683869.19407395  
2706.09357566739  6689674.40105147  
2707.02642851938  6506621.85608404  
2707.95928938377  7835875.80450565  
2708.89214261163  3371244.75853218  
2709.82499956341  6487358.76014485  
2710.75785831185  7011892.85822233  
2711.69070974305  6286378.68108753  
2712.62357243084  9686261.36091882  
2713.5564235103  7657462.81625357  
2714.48928397039  2524400.95660841  
2715.42213819481  5628709.56935433  
2716.35499433334  5931399.63908668  
2717.28785264403  7829237.01804773  
2718.22070576397  4324672.87452512  
2719.15356673628  1616495.64981242  
2720.08641792289  3731827.11524269  
2721.01928045721  2544601.57426629  
2721.9521320611  5754348.3358039  
2722.88499060241  6790261.3007204  
2723.81784779575  4057838.10407044  
2724.75070078205  4257456.95058801  
2725.683561888  5637925.87528331  
2726.61641452559  6434902.62160493  
2727.54927342881  3043358.82565729  
2728.48212921334  6926253.7772875  
2729.41498379175  11087468.90024  
2730.34784369387  6572082.92440117  
2731.28069519108  8056672.93770622  
2732.21355783207  6763168.85384901  
2733.14640724982  4773879.84580919  
2734.07927165319  4785279.79321536  
2735.01212139566  5192388.25662389  
2735.94498177923  6556271.93034248  
2736.87783714948  1669317.93639852  
2737.81069190527  4509553.39270223  
2738.74355124172  4484588.22712025  
2739.67640559448  1584749.93157253  
2740.60926285293  4082172.82018603  
2741.54212026616  4419400.83897848  
2742.47497326183  1844436.97739323  
2743.40783475119  1995580.42396917  
2744.34068465666  3166272.07604975  
2745.27354889704  5322489.15011095  
2746.20639665714  1992765.38195286  
2747.13926277641  1771360.82389043  
2748.07211074939  4441764.41499825  
2749.00497290245  1860665.0826654  
2749.9378265032  1621287.67868673  
2750.87068290601  3517635.83421314  
2751.80354071793  6129439.98578375  
2752.7363950554  7831154.58755057  
2753.66925391941  4143291.84123445  
2754.60210973023  4616878.55234014  
2755.53496432831  1745947.93087114  
2756.46782582008  2744562.39465051  
2757.400679103  3588450.20692138  
2758.33353991233  10196892.9826559  
2759.26639104915  7822671.07534327  
2760.19925384603  6579385.00126842  
2761.1321051414  7249294.25673912  
2762.06496397207  3999580.76133798  
2762.99782089522  5176484.97707527  
2763.93067402609  5461398.54509053  
2764.86353511309  9939460.15645956  
2765.79638612084  8183193.0070731  
2766.72924831247  5881361.73192467  
2767.66210084476  6539589.36167161  
2768.59495867542  4816293.40085514  
2769.527815281  5828861.42228868  
2770.46067011903  7644308.48867409  
