# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1134.19  3.65439806250224e-21  
1134.96  3.64944117946786e-21  
1134.96  3.86309904186927e-21  
1135.73  3.85786262492131e-21  
1135.73  4.01790044133557e-21  
1136.5  4.01245788032933e-21  
1136.5  4.17227891298007e-21  
1138.05  4.16092154145055e-21  
1138.82  4.15529672551182e-21  
1138.82  3.89002023235531e-21  
1139.59  3.88476517810054e-21  
1139.59  3.77880254647872e-21  
1141.13  3.76861014211416e-21  
1141.13  3.61008338830632e-21  
1141.9  3.60521636493998e-21  
1141.9  3.55243768517066e-21  
1142.67  3.54765160452353e-21  
1142.67  3.52132079438925e-21  
1144.22  3.51178705017661e-21  
1144.22  3.56432900664282e-21  
1144.99  3.55953663204967e-21  
1144.99  3.84820893850222e-21  
1145.76  3.84303835267219e-21  
1145.76  4.00028648640079e-21  
1146.53  3.99491517248963e-21  
1146.53  4.23045924894447e-21  
1148.07  4.21911754024212e-21  
1148.07  4.16690462633896e-21  
1148.84  4.16132083517196e-21  
1148.84  4.13524936174336e-21  
1149.61  4.12971170001192e-21  
1149.61  4.02558815900693e-21  
1151.16  4.01475480674596e-21  
1151.16  3.98878831415069e-21  
1151.93  3.98345753800213e-21  
1151.93  4.06125290781192e-21  
1152.7  4.05582891150607e-21  
1152.7  4.02993175470758e-21  
1153.47  4.02455318096057e-21  
1153.47  3.97282799496978e-21  
1155.01  3.96224094139018e-21  
1155.01  3.80752388134974e-21  
1155.78  3.80245229889685e-21  
1156.56  3.79732517593408e-21  
1156.56  3.74587601075227e-21  
1158.1  3.73592037033286e-21  
1158.1  3.94112533666882e-21  
1158.87  3.9358897911257e-21  
1158.87  3.98713405132095e-21  
1159.64  3.98184090180931e-21  
1159.64  4.16093539981324e-21  
1161.18  4.14990594467659e-21  
1161.18  4.0478247909194e-21  
1161.95  4.04246175057935e-21  
1161.95  3.96602454233217e-21  
1162.73  3.96070523083381e-21  
1162.73  3.93525293768376e-21  
1163.5  3.93004598952267e-21  
1163.5  3.95546460535309e-21  
1165.04  3.94501451000066e-21  
1165.04  4.12245263741699e-21  
1165.81  4.11700879966323e-21  
1165.81  4.0410548478326e-21  
1166.58  4.03572201969478e-21  
1166.58  3.83348952586067e-21  
1168.12  3.82338836783104e-21  
1168.12  3.69732061145734e-21  
1168.9  3.69238785781043e-21  
1168.9  3.76791881353223e-21  
1169.67  3.76295956431388e-21  
1169.67  3.86354226502834e-21  
1171.21  3.85338875982099e-21  
1171.21  3.70292214536438e-21  
1171.98  3.6980580463095e-21  
1171.98  3.39747643561392e-21  
1172.75  3.39301649439065e-21  
1172.75  3.26794220039998e-21  
1173.52  3.2636551154596e-21  
1173.52  3.11378028603748e-21  
1175.07  3.10557111332517e-21  
1175.07  3.03080953697072e-21  
1175.84  3.02684137935925e-21  
1175.84  2.85266949213503e-21  
1176.61  2.84893701192269e-21  
1176.61  2.99802567581581e-21  
1178.15  2.99019315525695e-21  
1178.15  3.31242510142049e-21  
1178.92  3.30809955873886e-21  
1178.92  3.67938359758726e-21  
1179.69  3.67458199587824e-21  
1179.69  3.87236616701623e-21  
1180.46  3.86731601795952e-21  
1182.01  3.85718004692352e-21  
1182.01  3.83255129688137e-21  
1182.78  3.82756287314347e-21  
1182.78  3.53246688519287e-21  
1183.55  3.52787203967554e-21  
1183.55  3.4296132422833e-21  
1185.09  3.42070561041541e-21  
1185.86  3.416264802585e-21  
1185.86  3.51414116570866e-21  
1186.63  3.50958201790892e-21  
1186.63  3.4851446726374e-21  
1188.18  3.4760577484992e-21  
1188.18  3.11051706265934e-21  
1188.95  3.10648943732736e-21  
1188.95  2.79010620670748e-21  
1189.72  2.78649579997163e-21  
1189.72  2.47050077538977e-21  
1190.49  2.46730600616866e-21  
1190.49  2.39448977551501e-21  
1192.03  2.3883068232755e-21  
1192.03  2.53358435132917e-21  
1192.8  2.5303143475204e-21  
1192.8  2.82047330933961e-21  
1193.58  2.8167881766371e-21  
1193.58  3.27562206628331e-21  
1195.12  3.26718574540414e-21  
1195.12  3.58031064956792e-21  
1195.89  3.5757016108194e-21  
1195.89  3.67194306916998e-21  
1196.66  3.66721910996945e-21  
1196.66  3.61916028817046e-21  
1198.2  3.60986313387624e-21  
1198.2  3.44213114865087e-21  
1198.97  3.43771137183554e-21  
1198.97  3.27017388925469e-21  
1199.75  3.26592315956635e-21  
1199.75  2.97911616910188e-21  
1200.52  2.97529585156753e-21  
1200.52  2.73658611149997e-21  
1202.06  2.72957873575701e-21  
1202.06  2.49148024224776e-21  
1202.83  2.48829138640739e-21  
1202.83  2.3456109891651e-21  
1203.6  2.34261075199128e-21  
1203.6  2.20011285518652e-21  
1205.14  2.19449357611291e-21  
1205.14  2.05237202489785e-21  
1205.92  2.04971789782938e-21  
1205.92  1.95508928651117e-21  
1206.69  1.95259496163928e-21  
1206.69  1.85808501826929e-21  
1207.46  1.85571596376543e-21  
1207.46  1.83211860291786e-21  
1209  1.82745414355116e-21  
1209  1.85099142699399e-21  
1209.77  1.84863592170014e-21  
1209.77  1.98967785632188e-21  
1210.54  1.98714747368976e-21  
1210.54  2.31582747173325e-21  
1212.09  2.30990837749983e-21  
1212.09  2.91876560199318e-21  
1212.86  2.91506074553455e-21  
1212.86  2.91506074553455e-21  
1212.86  4.13120912761952e-21  
1213.63  4.12596861459761e-21  
1213.63  6.20480941945266e-21  
1215.17  6.18909252113651e-21  
1215.17  8.82183640327913e-21  
1215.94  8.81066699814559e-21  
1215.94  1.09746901153972e-20  
1216.71  1.09608037539501e-20  
1216.71  1.14023583388431e-20  
1217.48  1.13879399672782e-20  
1217.48  1.02274331447386e-20  
1219.03  1.02014412608439e-20  
1219.03  8.04835479268093e-21  
1219.79  8.03832873229786e-21  
1219.79  6.32727211448452e-21  
1220.56  6.31929141257999e-21  
1220.56  4.97987364885637e-21  
1222.1  4.96733101983644e-21  
1222.1  4.29930890969794e-21  
1222.88  4.29382612894065e-21  
1222.88  3.99475605759702e-21  
1223.65  3.98973011984222e-21  
1223.65  4.10461543349248e-21  
1225.19  4.09430334293345e-21  
1225.19  4.25474669675389e-21  
1225.96  4.24940373921192e-21  
1225.96  4.29517287461397e-21  
1226.73  4.28978253583122e-21  
1226.73  4.19833920803487e-21  
1227.5  4.1930736972221e-21  
1227.5  4.21591083494759e-21  
1229.05  4.20528386087261e-21  
1229.05  4.29638229091735e-21  
1229.82  4.29100397748212e-21  
1229.82  4.47297275921308e-21  
1230.59  4.46737688815562e-21  
1232.13  4.45621660310262e-21  
1232.13  4.59219181638275e-21  
1232.9  4.5864575581151e-21  
1232.9  4.67698792693554e-21  
1233.67  4.67115142799018e-21  
1233.67  4.82939665178649e-21  
1234.44  4.82337371726514e-21  
1234.44  4.71048800655748e-21  
1235.99  4.69868098818362e-21  
1235.99  4.5635537506103e-21  
1236.76  4.55787303242861e-21  
1236.76  4.51288015100068e-21  
1237.53  4.50726600563537e-21  
1237.53  4.66452559846627e-21  
1239.07  4.65293802805789e-21  
1239.07  4.96665634790566e-21  
1239.84  4.96048920078457e-21  
1239.84  5.29620278205068e-21  
1240.61  5.28963051423423e-21  
1240.61  5.58021343439063e-21  
1242.16  5.5662958482636e-21  
1242.16  5.87845529666091e-21  
1242.93  5.87117410059372e-21  
1242.93  6.11614537898134e-21  
1243.7  6.10857446302218e-21  
1243.7  6.13082053837584e-21  
1244.47  6.12323615085644e-21  
1244.47  6.03436193118712e-21  
1246.01  6.01945486847332e-21  
1246.01  5.77571250065501e-21  
1246.78  5.76858064849201e-21  
1246.78  5.61364585253584e-21  
1247.56  5.60662851476258e-21  
1247.56  5.54032190641191e-21  
1249.1  5.52666913853421e-21  
1249.1  5.43847178005951e-21  
1249.87  5.43177295002355e-21  
1249.87  5.38771898727579e-21  
1250.64  5.38108675654169e-21  
1250.64  5.27110660504746e-21  
1252.18  5.25814918280036e-21  
1252.18  5.302040755497e-21  
1252.95  5.29552602320871e-21  
1252.95  5.2736072021233e-21  
1253.73  5.26704736220429e-21  
1253.73  5.17950022307276e-21  
1254.5  5.17314391983201e-21  
1254.5  5.08570421889726e-21  
1256.04  5.07324094830947e-21  
1256.04  4.94239331489861e-21  
1256.81  4.93633913476688e-21  
1256.81  4.69674882202368e-21  
1257.58  4.69099906546606e-21  
1257.58  4.19066629953576e-21  
1259.12  4.18042155803013e-21  
1259.12  3.76811113960565e-21  
1259.9  3.76344693310196e-21  
1259.9  3.67675516851531e-21  
1260.67  3.6722651165894e-21  
1260.67  4.1052134761505e-21  
1262.21  4.09520219109369e-21  
1262.21  4.74302216902349e-21  
1262.98  4.73724058297231e-21  
1262.98  5.47055915107433e-21  
1263.75  5.46389478349432e-21  
1263.75  6.11015564693417e-21  
1264.52  6.1027166386102e-21  
1264.52  6.33939421002186e-21  
1266.07  6.32388156665401e-21  
1266.07  6.30241467144207e-21  
1266.84  6.29475563875441e-21  
1266.84  5.88745506825502e-21  
1267.61  5.88030466153516e-21  
1267.61  5.75183472803326e-21  
1269.15  5.7378845229484e-21  
1269.15  5.63108900284912e-21  
1269.92  5.62426239328107e-21  
1269.92  5.83759449553034e-21  
1270.69  5.83052182499725e-21  
1270.69  5.97968080135254e-21  
1271.46  5.97244036907522e-21  
1271.46  5.99370708689499e-21  
1273.01  5.97912025702739e-21  
1273.01  5.76682254752692e-21  
1273.78  5.75985256647119e-21  
1273.78  5.65385049670383e-21  
1274.55  5.64702118464442e-21  
1274.55  5.73173148863211e-21  
1276.09  5.71790559812157e-21  
1276.09  5.86578643749703e-21  
1276.86  5.85871394138823e-21  
1276.86  5.83760832168581e-21  
1277.63  5.83057404118123e-21  
1277.63  5.72519148189141e-21  
1279.18  5.71132530137788e-21  
1279.18  5.6903145031968e-21  
1279.95  5.68347013547892e-21  
1279.95  5.66246629732049e-21  
1280.72  5.65565951933598e-21  
1280.72  5.6137023399071e-21  
1281.49  5.60695823395046e-21  
1281.49  5.73266028657458e-21  
1283.03  5.71890690807071e-21  
1283.03  5.88609539525444e-21  
1283.8  5.87903676577857e-21  
1284.58  5.87189940342049e-21  
1284.58  5.74681954505168e-21  
1286.12  5.73306530198952e-21  
1286.12  5.71226250701009e-21  
1286.89  5.70542878191371e-21  
1286.89  5.72620668997977e-21  
1287.66  5.71936037831034e-21  
1287.66  5.80235454810724e-21  
1289.2  5.78850054713595e-21  
1289.2  5.70570453849922e-21  
1289.97  5.69889495182998e-21  
1289.97  5.84361053434055e-21  
1290.75  5.83655008264567e-21  
1290.75  5.79526044780932e-21  
1291.52  5.78835227708736e-21  
1291.52  5.76772307639937e-21  
1293.06  5.75399284849006e-21  
1293.06  5.56880790293745e-21  
1293.83  5.56218152060441e-21  
1293.83  5.41831021500555e-21  
1294.6  5.41186674500926e-21  
1294.6  5.24765327241138e-21  
1296.14  5.23519075274938e-21  
1296.14  5.15327900967168e-21  
1296.92  5.14708225289949e-21  
1296.92  5.00389569691405e-21  
1297.69  4.99795921505055e-21  
1297.69  4.77324416208836e-21  
1298.46  4.76758467588071e-21  
1298.46  4.35947040270558e-21  
1300  4.34914792899408e-21  
1300  4.02342603550296e-21  
1300.77  4.01866405437705e-21  
1300.77  3.67300855570692e-21  
1301.54  3.66866388709633e-21  
1303.09  3.65994147026081e-21  
1303.09  3.88279794553992e-21  
1303.86  3.87821329440859e-21  
1303.86  4.42462046387543e-21  
1304.63  4.41939913314669e-21  
1304.63  4.94492719674307e-21  
1306.17  4.93327373868602e-21  
1306.17  5.45758090123129e-21  
1306.94  5.45115199192522e-21  
1306.94  5.99496925178681e-21  
1307.71  5.98791146787391e-21  
1307.71  6.35002948938919e-21  
