# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1273.78  4.77075877262239e-21  
1274.55  4.76499615112446e-21  
1274.55  4.8271022667361e-21  
1276.09  4.81545849250218e-21  
1276.86  4.80965239781851e-21  
1277.63  4.80385679759468e-21  
1277.63  4.74204976116433e-21  
1279.18  4.73056470984326e-21  
1279.18  4.668907367537e-21  
1279.95  4.66329155863115e-21  
1279.95  4.72487473886376e-21  
1280.72  4.71919502764547e-21  
1280.72  4.78070417952835e-21  
1281.49  4.7749608084727e-21  
1281.49  4.83639606540845e-21  
1283.03  4.82479293835102e-21  
1283.03  4.7635050723821e-21  
1283.8  4.75779265777538e-21  
1283.8  4.69657828846395e-21  
1284.58  4.69087647328175e-21  
1284.58  4.75201652614429e-21  
1286.12  4.74064321090033e-21  
1286.12  4.86261251886603e-21  
1286.89  4.85679525168627e-21  
1286.89  5.03955751365533e-21  
1287.66  5.03353216681013e-21  
1289.2  5.02151384580787e-21  
1289.2  4.90010858003708e-21  
1289.97  4.89426044790207e-21  
1289.97  4.65175773202444e-21  
1290.75  4.64613731797217e-21  
1291.52  4.64059894569722e-21  
1291.52  4.64059894569722e-21  
1293.06  4.62955186865899e-21  
1293.83  4.62404311683148e-21  
1293.83  4.50350519936039e-21  
1294.6  4.49814961810374e-21  
1294.6  4.37777294454577e-21  
1296.14  4.36737628177768e-21  
1296.14  4.42743060747428e-21  
1296.92  4.4221066747804e-21  
1296.92  4.30214245261323e-21  
1297.69  4.29703851116619e-21  
1297.69  4.05741252595972e-21  
1298.46  4.05260177891859e-21  
1298.46  3.69359787346072e-21  
1300  3.68485207100592e-21  
1300  3.50577514792899e-21  
1300.77  3.50162583961842e-21  
1300.77  3.44199827142002e-21  
1301.54  3.4379268564966e-21  
1301.54  3.55702322082104e-21  
1303.09  3.5485662347955e-21  
1303.09  4.02385439857848e-21  
1303.86  4.01910319367946e-21  
1303.86  4.49383015637798e-21  
1304.63  4.48852715385453e-21  
1304.63  4.84416103295247e-21  
1306.17  4.83274504538114e-21  
1306.17  4.95099858088495e-21  
1306.94  4.94516641432123e-21  
1306.94  5.18141244869768e-21  
1307.71  5.1753124525358e-21  
1307.71  5.35230153881948e-21  
1308.48  5.3460040645527e-21  
1310.03  5.33336098888541e-21  
1310.03  5.15699822580162e-21  
1310.8  5.15094127992242e-21  
1310.8  4.97480311683068e-21  
1311.57  4.96896359021598e-21  
1311.57  4.9103139741657e-21  
1313.11  4.89880321074742e-21  
1313.11  4.78179635042537e-21  
1313.88  4.77619324469909e-21  
1313.88  4.65930610964043e-21  
1314.65  4.65384972954905e-21  
1316.2  4.64289513347872e-21  
1316.97  4.63746754722103e-21  
1316.97  4.81197645995396e-21  
