# K filter curve @ T=90K 
#
# Filter transmission only (no sky extinction or telecope optics)
#
# Wavelength (Ang)       Transmission
8369.48  -0.0001156259
8389.36  -0.0005150869
8409.24  -0.000240061
8429.12  -0.0002223927
8449.0   -0.0003240955
8468.88  -0.0003324352
8488.76  -0.0002250341
8508.64  -0.0003088183
8528.52  -0.0007194612
8548.4   -0.000341084
8568.28  0.0001593784
8588.16  0.0001632051
8608.04  -0.0009394489
8627.92  -0.0006297167
8647.8   -5.76065e-05
8667.68  -0.000587476
8687.56  -0.0006134281
8707.44  -0.0009229851
8727.32  -0.00018391
8747.2   -0.0004209063
8767.08  -0.0008496072
8786.96  -0.0006294023
8806.84  -0.0003738854
8826.72  -3.87679e-05
8846.6   -0.000177326
8866.48  -0.0004020993
8886.36  -0.0007120688
8906.24  2.5407e-05
8926.12  -0.0004752922
8946.0   -0.0008816924
8965.88  -0.0001291478
8985.76  -0.0002138791
9005.64  -0.0002937285
9025.52  -0.0007988682
9045.4   -0.0003204504
9065.28  -0.0005316321
9085.16  -0.000404562
9105.04  -0.0002175144
9124.92  -1.37332e-05
9144.8   -7.55271e-05
9164.68  -0.0003432752
9184.56  -2.22165e-05
9204.44  0.0001612692
9224.32  -0.0007788269
9244.2   -0.0004876584
9264.08  -0.0002660249
9283.96  -5.25515e-05
9303.84  -0.0007122533
9323.72  0.000882437
9343.6   -0.0001759191
9363.48  -0.0006645317
9383.36  -0.0006934523
9403.24  -0.0003023655
9423.12  -6.93292e-05
9443.0   -0.0005848615
9462.88  -0.0004245806
9482.76  -0.0003904926
9502.64  -0.0004490691
9522.52  -0.0003582058
9542.4   -0.0003264214
9562.28  -0.0004595858
9582.16  -0.0003188546
9602.04  -0.000288294
9621.92  -0.0004936312
9641.8   -6.92723e-05
9661.68  -0.0003646876
9681.56  -0.0004472746
9701.44  -0.0005430152
9721.32  -0.0004453406
9741.2   -0.0003229751
9761.08  -0.0006196438
9780.96  -0.0005154889
9800.84  -9.14397e-05
9820.72  -0.0001796308
9840.6   0.0001472222
9860.48  -0.0004355677
9880.36  -0.0002138298
9900.24  -0.0006995014
9920.12  -0.0008074483
9940.0   -0.0008837654
9959.88  -3.66176e-05
9979.76  -0.0003053311
9999.64  -0.0008358102
10019.52 0.0002680433
10039.4  -0.0004116969
10059.28 -0.000544558
10079.16 -0.0002926475
10099.04 -0.0004105057
10118.92 -0.0004153478
10138.8  -0.0004081131
10158.68 -0.0004353099
10178.56 -0.000204791
10198.44 -0.0004107201
10218.32 -0.000155145
10238.2  -0.0002349587
10258.08 -0.0006381662
10277.96 -0.0002685077
10297.84 -0.0001784679
10317.72 -0.0004706248
10337.6  -0.0004062518
10357.48 -0.0003320701
10377.36 -0.0004256614
10397.24 -0.0006010878
10417.12 -0.0003634616
10437.0  5.11831e-05
10456.88 -0.0003754844
10476.76 -0.0002177718
10496.64 -9.25498e-05
10516.52 -0.0005849278
10536.4  -0.0002499106
10556.28 -0.0002802875
10576.16 -4.55623e-05
10596.04 -0.0007138251
10615.92 -0.0004563542
10635.8  -0.0006184021
10655.68 -0.0005506671
10675.56 0.0001689096
10695.44 -0.000136863
10715.32 1.44333e-05
10735.2  -0.0006041637
10755.08 -0.0007043762
10774.96 0.0002475685
10794.84 -0.0007207651
10814.72 -5.71671e-05
10834.6  -0.0006815726
10854.48 -0.0001586154
10874.36 -0.0003236764
10894.24 0.000297177
10914.12 4.35354e-05
10934.0  -0.0006457097
10953.88 -0.0002100853
10973.76 -0.0004370587
10993.64 -0.0003347953
11013.52 -0.0005090984
11033.4  -0.0004752981
11053.28 -0.0002816552
11073.16 -0.0009172774
