# Thu Nov 15 11:34:36 2012
# HST/COS EUV+FUV AGN composite spectrum.
# Figure 5 from Shull, Stevans, and Danforth 2012.
 
# wave         flux        spline
# [Angstroms]  [Relative]  [Relative]
627.950      1.4966      1.5454
628.050      1.2627      1.5443
628.150      1.3386      1.5432
628.250      1.4989      1.5421
628.350      1.4909      1.5409
628.450      1.4236      1.5397
628.550      1.3532      1.5385
628.650      1.4384      1.5373
628.750      1.4263      1.5361
628.850      1.3938      1.5348
628.950      1.4160      1.5335
629.050      1.2517      1.5322
629.150      1.2668      1.5309
629.250      1.2732      1.5295
629.350      1.4070      1.5281
629.450      1.4643      1.5267
629.550      1.4259      1.5253
629.650      1.4475      1.5239
629.750      1.2926      1.5225
629.850      1.1786      1.5210
629.950      1.3023      1.5195
630.050      1.4611      1.5181
630.150      1.4405      1.5165
630.250      1.4952      1.5150
630.350      1.5128      1.5135
630.450      1.5007      1.5119
630.550      1.5252      1.5104
630.650      1.4419      1.5012
630.750      1.2855      1.4995
630.850      1.3232      1.4977
630.950      1.4285      1.4959
631.050      1.4133      1.4941
631.150      1.3442      1.4923
631.250      1.3107      1.4904
631.350      1.3837      1.4885
631.450      1.3592      1.4866
631.550      1.3683      1.4847
631.650      1.4943      1.4828
631.750      1.4792      1.4808
631.850      1.4086      1.4789
631.950      1.3419      1.4769
632.050      1.4136      1.4749
632.150      1.4158      1.4729
632.250      1.4556      1.4709
632.350      1.4212      1.4690
632.450      1.4509      1.4672
632.550      1.2660      1.4654
632.650      1.4385      1.4636
632.750      1.4139      1.4618
632.850      1.4077      1.4600
632.950      1.3065      1.4581
633.050      1.3585      1.4563
633.150      1.3311      1.4545
633.250      1.1305      1.4527
633.350      1.1574      1.4508
633.450      1.3250      1.4490
633.550      1.4009      1.4693
633.650      1.4583      1.4679
633.750      1.4295      1.4664
633.850      1.4469      1.4650
633.950      1.4553      1.4635
634.050      1.3151      1.4621
634.150      1.2004      1.4606
634.250      1.2259      1.4591
634.350      1.3468      1.4577
634.450      1.2974      1.4562
634.550      1.3423      1.4547
634.650      1.3921      1.4533
634.750      1.2611      1.4518
634.850      1.1550      1.4503
634.950      1.1561      1.4488
635.050      1.2259      1.4474
635.150      1.2728      1.4459
635.250      1.2850      1.4445
635.350      1.3211      1.4430
635.450      1.3390      1.4416
635.550      1.4383      1.4402
635.650      1.4172      1.4388
635.750      1.3056      1.4374
635.850      1.1546      1.4360
635.950      1.3062      1.4346
636.050      1.2240      1.4333
636.150      1.0958      1.4319
636.250      1.2055      1.4306
636.350      1.3381      1.4293
636.450      1.4173      1.4281
636.550      1.4439      1.4268
636.650      1.4551      1.4255
636.750      1.4054      1.4243
636.850      1.4333      1.4231
636.950      1.4462      1.4218
637.050      1.4172      1.3841
637.150      1.4270      1.4306
637.250      1.3183      1.4294
637.350      1.0994      1.4282
637.450      1.1768      1.4269
637.550      1.3250      1.4257
637.650      1.3280      1.4245
637.750      1.2636      1.4233
637.850      1.1716      1.4220
637.950      1.1895      1.4207
638.050      1.3621      1.4194
638.150      1.3811      1.4181
638.250      1.3686      1.4167
638.350      1.3681      1.4153
638.450      1.3055      1.4138
638.550      1.2369      1.4123
638.650      1.2131      1.4107
638.750      1.2476      1.4090
638.850      1.3098      1.4063
638.950      1.3645      1.4046
639.050      1.3327      1.4036
639.150      1.2689      1.4026
639.250      1.3257      1.4015
639.350      1.3377      1.4005
639.450      1.3471      1.3995
639.550      1.3348      1.3985
639.650      1.2982      1.3974
639.750      1.2249      1.3964
639.850      1.2029      1.3954
639.950      1.3605      1.3944
640.050      1.3633      1.3935
640.150      1.3896      1.3925
640.250      1.3878      1.3915
640.350      1.4120      1.3905
640.450      1.3517      1.3896
640.550      1.3834      1.3886
640.650      1.3640      1.3877
640.750      1.3516      1.3867
640.850      1.3414      1.3858
640.950      1.3080      1.3849
641.050      1.3145      1.3839
641.150      1.3726      1.3830
641.250      1.3795      1.3821
641.350      1.3735      1.3812
641.450      1.3803      1.3803
641.550      1.3743      1.3794
641.650      1.3541      1.3785
641.750      1.3648      1.3776
641.850      1.2818      1.3552
641.950      1.3055      1.3545
642.050      1.3200      1.3539
642.150      1.2467      1.3532
642.250      1.2382      1.3525
642.350      1.1990      1.3519
642.450      1.1152      1.3512
642.550      1.1356      1.3505
642.650      1.1304      1.3499
642.750      1.2078      1.3492
642.850      1.2685      1.3486
642.950      1.2742      1.3479
643.050      1.2550      1.3472
643.150      1.3113      1.3466
643.250      1.3320      1.3460
643.350      1.2752      1.3453
643.450      1.3067      1.3447
643.550      1.3203      1.3441
643.650      1.2868      1.3435
643.750      1.2974      1.3429
643.850      1.2551      1.3423
643.950      1.1856      1.3417
644.050      1.1685      1.3411
644.150      1.3401      1.3405
644.250      1.1626      1.3400
644.350      1.1354      1.3394
644.450      1.1819      1.3389
644.550      1.2560      1.3383
644.650      1.1962      1.3378
644.750      1.0753      1.3373
644.850      0.9881      1.3368
644.950      1.0426      1.3363
645.050      1.3111      1.3358
645.150      1.2923      1.3353
645.250      1.1979      1.3348
645.350      1.2274      1.3343
645.450      1.2625      1.3339
645.550      1.2490      1.3334
645.650      1.2042      1.3330
645.750      1.2165      1.3326
645.850      1.3052      1.3322
645.950      1.3423      1.3318
646.050      1.2826      1.3314
