#J	G0202	
#scanned warm
#Wavelength (Ang) transmission
13260.0 0.89694   
13270.0 0.87585   
13280.0 0.84043   
13290.0 0.78531   
13300.0 0.71567   
13310.0 0.63336   
13320.0 0.54478   
13330.0 0.45843   
13340.0 0.37641   
13350.0 0.30368   
13360.0 0.24242   
13370.0 0.19304   
13380.0 0.15387   
13390.0 0.12215   
13400.0 0.097754  
13410.0 0.078566  
13420.0 0.06328   
13430.0 0.051627  
13440.0 0.042404  
13450.0 0.035012  
13460.0 0.029182  
13470.0 0.02451   
13480.0 0.02049   
13490.0 0.01747   
13500.0 0.015017  
13510.0 0.012844  
13520.0 0.011158  
13530.0 0.0097358 
13540.0 0.0085253 
13550.0 0.0074611 
13560.0 0.006637  
13570.0 0.0059395 
13580.0 0.0053667 
13590.0 0.0048801 
13600.0 0.0042962 
13610.0 0.0039781 
13620.0 0.0036639 
13630.0 0.0033059 
13640.0 0.0031081 
13650.0 0.0028331 
13660.0 0.0026822 
13670.0 0.0025118 
13680.0 0.0023477 
13690.0 0.0021919 
13700.0 0.002064  
13710.0 0.0019194 
13720.0 0.0018404 
13730.0 0.0017756 
13740.0 0.0017127 
13750.0 0.0016042 
13760.0 0.0015839 
13770.0 0.0014215 
13780.0 0.0013845 
13790.0 0.0012987 
13800.0 0.0012692 
13810.0 0.0012158 
13820.0 0.0011581 
13830.0 0.0010345 
13840.0 0.0010591 
13850.0 0.00093421
13860.0 0.00092892
13870.0 0.00082265
13880.0 0.00082736
13890.0 0.00068333
13900.0 0.00064972
13910.0 0.00059617
13920.0 0.0005847 
13930.0 0.00050443
13940.0 0.00048314
13950.0 0.00048734
13960.0 0.00048448
13970.0 0.00035108
13980.0 0.00032795
13990.0 0.00035844
14000.0 0.00035089
14010.0 0.0003521 
14020.0 0.00033087
14030.0 0.00031633
14040.0 0.00028172
14050.0 0.00026996
14060.0 0.00028191
14070.0 0.00025342
14080.0 0.00022502
14090.0 0.00025901
14100.0 0.00023358
14110.0 0.0001948 
14120.0 0.000251  
14130.0 0.00017721
14140.0 0.00020634
14150.0 0.00018999
14160.0 0.00019799
14170.0 0.00014215
14180.0 0.00021378
14190.0 0.0001905 
14200.0 0.00017219
14210.0 0.00011613
14220.0 0.00011758
14230.0 0.00013525
14240.0 0.0001753 
14250.0 0.00022314
14260.0 0.00018157
14270.0 0.00011386
14280.0 0.00016676
14290.0 0.00018217
14300.0 0.00020631
14310.0 0.00011635
14320.0 0.00018307
14330.0 0.0001303 
14340.0 0.00017443
14350.0 0.00021293
14360.0 0.0001439 
14370.0 0.00019544
14380.0 0.00018934
14390.0 0.00014222
14400.0 0.00020874
14410.0 0.00014916
14420.0 0.00013778
14430.0 0.0001492 
14440.0 0.00022752
14450.0 0.00017397
14460.0 0.00018411
14470.0 0.00015416
14480.0 0.00016081
14490.0 0.00021319
14500.0 0.00017405
14510.0 0.00015766
14520.0 0.00021221
14530.0 0.00017745
14540.0 0.00019832
14550.0 0.0001291 
14560.0 0.0002031 
14570.0 0.00019474
14580.0 0.00017435
14590.0 0.0001697 
14600.0 0.00022034
14610.0 0.00018925
14620.0 0.00015373
14630.0 0.00024839
14640.0 0.0001768 
14650.0 0.00018438
14660.0 0.00015466
14670.0 0.00021278
14680.0 0.00014245
14690.0 0.00022778
14700.0 0.00017947
14710.0 0.00014978
14720.0 0.0001698 
14730.0 0.00014168
14740.0 0.00018335
14750.0 0.00019495
14760.0 0.00019518
14770.0 0.00020209
14780.0 0.00016708
14790.0 0.00021495
14800.0 0.00017006
14810.0 0.00012456
14820.0 0.00017516
14830.0 0.00018212
14840.0 0.00014096
14850.0 0.00015767
14860.0 0.00018686
14870.0 0.00022012
14880.0 0.00014105
14890.0 0.00019523
14900.0 9.0875e-05
14910.0 0.0001287 
14920.0 0.00013274
14930.0 0.00019128
14940.0 0.00011118
14950.0 0.00016838
14960.0 0.00012519
14970.0 0.00014448
14980.0 0.0001877 
14990.0 0.00017775
15000.0 0.00019284
15010.0 0.00012545
15020.0 0.00015905
15030.0 0.00018404
15040.0 9.4117e-05
15050.0 0.0001549 
15060.0 0.0001732 
15070.0 0.00015391
15080.0 0.00010399
15090.0 0.0001951 
15100.0 0.00011673
15110.0 0.0001333 
15120.0 0.0001167 
15130.0 0.00012424
15140.0 0.00014113
15150.0 0.00015394
15160.0 0.000191  
15170.0 0.00016656
15180.0 0.0002285 
15190.0 0.00016256
15200.0 0.00014485
15210.0 0.00015131
15220.0 0.00015067
15230.0 0.00014137
15240.0 0.00011029
15250.0 0.00014865
15260.0 0.00020051
15270.0 0.00012083
15280.0 0.00012392
15290.0 0.0001462 
15300.0 0.00013639
15310.0 0.00013365
15320.0 0.00014565
15330.0 0.00012529
15340.0 0.000162  
15350.0 0.00013769
15360.0 0.00011174
15370.0 0.00012475
15380.0 7.9196e-05
15390.0 0.00012079
15400.0 0.00015413
15410.0 0.00010403
15420.0 0.00013742
15430.0 0.00017961
15440.0 0.00014153
15450.0 0.00011697
15460.0 0.00012848
15470.0 9.8704e-05
15480.0 0.00011713
15490.0 0.00016524
15500.0 0.00015172
15510.0 0.00017312
15520.0 0.00011592
15530.0 0.00016717
15540.0 0.00012047
15550.0 0.00018688
15560.0 0.0001572 
15570.0 0.00016736
15580.0 0.00015757
15590.0 0.00020856
15600.0 0.00014156
15610.0 0.00017971
15620.0 0.00010406
15630.0 0.00016255
15640.0 8.2903e-05
15650.0 0.00016252
15660.0 0.00014608
15670.0 0.00014156
15680.0 0.00013351
15690.0 0.00018776
15700.0 0.00015107
15710.0 0.00013878
15720.0 0.00011637
15730.0 7.4599e-05
15740.0 0.00017726
15750.0 0.00010048
15760.0 0.00011435
15770.0 0.00017708
15780.0 0.00013661
15790.0 0.00014222
15800.0 7.4937e-05
15810.0 0.00015905
15820.0 0.00016608
15830.0 0.00012548
15840.0 0.00014173
15850.0 0.00011628
15860.0 0.00016248
15870.0 0.00016756
15880.0 0.0001708 
15890.0 0.00013375
15900.0 0.00012783
15910.0 0.00011282
15920.0 0.0001375 
15930.0 0.00012351
15940.0 0.00014618
15950.0 0.00017267
15960.0 9.3901e-05
15970.0 0.00018686
15980.0 0.00011242
15990.0 0.00015619
16000.0 0.00012598
16010.0 0.00012181
16020.0 0.00014009
16030.0 0.00016416
16040.0 0.00016952
16050.0 0.00012111
16060.0 0.00018762
16070.0 0.00015929
16080.0 0.00018276
16090.0 0.00020908
16100.0 0.00012467
