#H	G0203
#scanned warm
#Wavelength (Ang) Transmission
12490.0 9.2483e-05
12500.0 0.00014706
12510.0 0.00018095
12520.0 0.00017643
12530.0 0.00016756
12540.0 0.00011331
12550.0 0.00015532
12560.0 0.00013005
12570.0 0.00010057
12580.0 0.00012156
12590.0 0.00016773
12600.0 0.00013007
12610.0 0.00017632
12620.0 0.0001595 
12630.0 9.9573e-05
12640.0 0.00013452
12650.0 0.0001497 
12660.0 0.00017657
12670.0 0.00019179
12680.0 0.00022278
12690.0 0.00013823
12700.0 0.00014603
12710.0 0.00012603
12720.0 0.0001675 
12730.0 0.00021369
12740.0 0.00013411
12750.0 0.000176  
12760.0 0.00016752
12770.0 0.00014971
12780.0 0.00023057
12790.0 0.00018411
12800.0 0.00012411
12810.0 0.00017491
12820.0 0.00020146
12830.0 0.00013477
12840.0 0.00016345
12850.0 0.00014547
12860.0 0.00015561
12870.0 0.00021711
12880.0 9.8394e-05
12890.0 0.00018227
12900.0 0.00020909
12910.0 0.00014207
12920.0 0.00018678
12930.0 0.00015763
12940.0 0.00010893
12950.0 0.00011748
12960.0 0.00016274
12970.0 0.00017968
12980.0 0.00017931
12990.0 0.00012185
13000.0 0.00015019
13010.0 9.9503e-05
13020.0 0.00013034
13030.0 0.00012838
13040.0 0.0001718 
13050.0 0.00012446
13060.0 0.00013413
13070.0 0.00016279
13080.0 0.00017647
13090.0 0.00014703
13100.0 0.00011069
13110.0 0.00016271
13120.0 0.00019201
13130.0 0.00013373
13140.0 0.00018811
13150.0 0.00016643
13160.0 0.00015834
13170.0 9.1234e-05
13180.0 0.00015954
13190.0 0.0001665 
13200.0 0.00020325
13210.0 0.00017956
13220.0 0.00018353
13230.0 0.0001503 
13240.0 0.00020827
13250.0 0.00011649
13260.0 0.00015824
13270.0 0.00017908
13280.0 0.00019162
13290.0 0.00012896
13300.0 8.2904e-05
13310.0 0.00010347
13320.0 0.00018716
13330.0 0.00015889
13340.0 0.00012474
13350.0 0.00017016
13360.0 0.00011218
13370.0 0.00014527
13380.0 0.00019551
13390.0 0.00012433
13400.0 0.00014149
13410.0 0.00017946
13420.0 0.00015705
13430.0 0.00016035
13440.0 0.00015044
13450.0 0.00018675
13460.0 0.00016556
13470.0 0.00010986
13480.0 0.00016328
13490.0 0.00017406
13500.0 0.00016051
13510.0 0.00015814
13520.0 0.00017171
13530.0 0.0002047 
13540.0 0.00014628
13550.0 0.00013434
13560.0 0.0001414 
13570.0 0.00013246
13580.0 0.00015654
13590.0 0.00018557
13600.0 7.9457e-05
13610.0 0.00015297
13620.0 0.00014694
13630.0 0.00019656
13640.0 0.00015319
13650.0 0.00011395
13660.0 0.00016576
13670.0 0.00015744
13680.0 0.00013937
13690.0 0.00015676
13700.0 0.0001788 
13710.0 0.00015172
13720.0 0.00016314
13730.0 0.00019084
13740.0 0.00027022
13750.0 0.00011509
13760.0 0.00021325
13770.0 0.00012916
13780.0 0.00015057
13790.0 0.00016199
13800.0 0.00016847
13810.0 0.00021082
13820.0 0.00019958
13830.0 0.00011983
13840.0 0.00018233
13850.0 0.00011619
13860.0 0.0001807 
13870.0 0.00012883
13880.0 0.00019779
