#K	G0204
#scanned warm
#Wavelength (Ang) transmission
11820.0 3.715e-05  
11830.0 0.000119   
11840.0 8.1201e-05 
11850.0 0.00011379 
11860.0 7.9564e-05 
11870.0 2.5508e-05 
11880.0 0.000119   
11890.0 0.00011816 
11900.0 0.00010945 
11910.0 6.3507e-05 
11920.0 5.1518e-05 
11930.0 4.5794e-05 
11940.0 5.9014e-05 
11950.0 0.00010551 
11960.0 0.00013126 
11970.0 0.00014404 
11980.0 0.0001182  
11990.0 5.0853e-05 
12000.0 -4.3735e-06
12010.0 9.7678e-05 
12020.0 0.00011476 
12030.0 0.00010595 
12040.0 5.0816e-05 
12050.0 5.5484e-05 
12060.0 5.5086e-05 
12070.0 8.841e-05  
12080.0 0.00011406 
12090.0 3.0014e-05 
12100.0 0.00013183 
12110.0 5.9544e-05 
12120.0 3.4032e-05 
12130.0 9.284e-05  
12140.0 5.956e-05  
12150.0 5.1056e-05 
12160.0 2.134e-05  
12170.0 0.00010198 
12180.0 7.224e-05  
12190.0 0.00010196 
12200.0 7.2158e-05 
12210.0 4.6799e-05 
12220.0 6.7898e-05 
12230.0 9.3391e-05 
12240.0 0.00010605 
12250.0 7.2033e-05 
12260.0 7.2112e-05 
12270.0 8.4334e-05 
12280.0 9.3832e-05 
12290.0 4.2285e-05 
12300.0 8.0485e-05 
12310.0 0.00011837 
12320.0 2.5591e-05 
12330.0 7.6209e-05 
12340.0 0.00013971 
12350.0 3.8119e-05 
12360.0 8.4656e-05 
12370.0 7.1579e-05 
12380.0 9.7795e-05 
12390.0 7.1722e-05 
12400.0 0.00011004 
12410.0 1.6941e-05 
12420.0 8.0403e-05 
12430.0 6.7726e-05 
12440.0 8.0416e-05 
12450.0 5.9234e-05 
12460.0 7.6093e-05 
12470.0 6.8044e-05 
12480.0 5.5096e-05 
12490.0 0.00012706 
12500.0 0.000161   
12510.0 9.254e-05  
12520.0 0.00015652 
12530.0 9.6764e-05 
12540.0 8.464e-05  
12550.0 0.0001307  
12560.0 6.7823e-05 
12570.0 3.3665e-05 
12580.0 8.4473e-05 
12590.0 7.1695e-05 
12600.0 0.00014392 
12610.0 4.2213e-05 
12620.0 8.4805e-05 
12630.0 5.8923e-05 
12640.0 7.9937e-05 
12650.0 9.319e-05  
12660.0 5.0753e-05 
12670.0 0.00010569 
12680.0 6.3251e-05 
12690.0 0.00011377 
12700.0 0.00011404 
12710.0 9.6806e-05 
12720.0 9.6851e-05 
12730.0 7.1761e-05 
12740.0 9.2805e-05 
12750.0 0.00010147 
12760.0 4.6344e-05 
12770.0 0.00011387 
12780.0 6.3283e-05 
12790.0 6.3168e-05 
12800.0 6.7289e-05 
12810.0 8.4581e-05 
12820.0 0.0001049  
12830.0 7.6441e-05 
12840.0 0.00010924 
12850.0 9.7404e-05 
12860.0 6.2747e-05 
12870.0 0.00010143 
12880.0 8.4235e-05 
12890.0 5.8941e-05 
12900.0 7.1806e-05 
12910.0 7.2149e-05 
12920.0 0.00010454 
12930.0 5.5058e-05 
12940.0 6.8001e-05 
12950.0 5.9511e-05 
12960.0 5.3866e-05 
12970.0 8.3759e-05 
12980.0 5.6091e-05 
12990.0 0.00011773 
13000.0 9.5911e-05 
13010.0 0.00010518 
13020.0 6.5773e-05 
13030.0 5.1034e-05 
13040.0 8.829e-05  
13050.0 5.817e-05  
13060.0 6.3759e-05 
13070.0 5.8972e-05 
13080.0 5.7833e-05 
13090.0 1.7484e-05 
13100.0 0.00013142 
13110.0 0.00014781 
13120.0 0.00012087 
13130.0 6.7643e-05 
13140.0 9.2854e-05 
13150.0 7.1769e-05 
13160.0 0.00013456 
13170.0 8.7513e-05 
13180.0 8.0107e-05 
13190.0 8.3907e-05 
13200.0 4.5688e-05 
13210.0 0.00010501 
13220.0 0.00011351 
13230.0 8.7588e-05 
13240.0 9.5898e-05 
13250.0 5.023e-05  
13260.0 0.00013863 
13270.0 4.1742e-05 
13280.0 9.5975e-05 
13290.0 0.00010494 
13300.0 5.7761e-05 
13310.0 0.0001094  
13320.0 0.00011227 
13330.0 5.5109e-05 
13340.0 0.00012537 
13350.0 9.242e-05  
13360.0 7.5016e-05 
13370.0 6.3041e-05 
13380.0 0.00012135 
13390.0 8.8142e-05 
13400.0 7.9929e-05 
13410.0 0.00010437 
13420.0 8.3011e-05 
13430.0 7.1439e-05 
13440.0 8.7964e-05 
13450.0 0.00017972 
13460.0 0.00012845 
13470.0 0.00014097 
13480.0 4.98e-05   
13490.0 0.00010044 
13500.0 7.5394e-05 
13510.0 0.00014915 
13520.0 3.6728e-05 
13530.0 9.6789e-05 
13540.0 6.0216e-05 
13550.0 9.2362e-05 
13560.0 0.00011787 
13570.0 0.00013341 
13580.0 0.00010766 
13590.0 6.7225e-05 
13600.0 3.9502e-05 
13610.0 9.156e-05  
13620.0 7.0867e-05 
13630.0 8.299e-05  
13640.0 0.00012485 
13650.0 9.3937e-05 
13660.0 9.1344e-05 
13670.0 0.00012494 
13680.0 8.2092e-05 
13690.0 7.0377e-05 
13700.0 9.3282e-05 
13710.0 8.7962e-05 
13720.0 0.00012112 
13730.0 7.585e-05  
13740.0 9.4852e-05 
13750.0 8.381e-05  
13760.0 7.6361e-05 
13770.0 7.3957e-05 
13780.0 7.9893e-05 
13790.0 5.7137e-05 
13800.0 0.00011135 
13810.0 0.00011967 
13820.0 8.5189e-05 
13830.0 9.0232e-05 
13840.0 8.0835e-05 
13850.0 8.5257e-05 
13860.0 6.9177e-05 
13870.0 0.00012149 
13880.0 8.6119e-05 
13890.0 6.8692e-05 
13900.0 8.6171e-05 
13910.0 0.00015728 
13920.0 9.5626e-05 
13930.0 8.7528e-05 
13940.0 8.699e-05  
13950.0 0.00017107 
13960.0 6.9819e-05 
13970.0 0.00012414 
13980.0 0.00012343 
13990.0 7.2285e-05 
14000.0 0.00012435 
14010.0 9.8738e-05 
14020.0 5.8778e-05 
14030.0 9.9726e-05 
14040.0 8.492e-05  
14050.0 6.7211e-05 
14060.0 8.7288e-05 
14070.0 9.0692e-05 
14080.0 9.1894e-05 
14090.0 5.846e-05  
14100.0 8.0354e-05 
14110.0 6.7592e-05 
14120.0 8.5461e-05 
14130.0 0.00010298 
14140.0 6.2658e-05 
14150.0 8.1708e-05 
14160.0 4.9909e-05 
14170.0 0.00010723 
14180.0 6.5814e-05 
14190.0 0.00010876 
14200.0 9.3114e-05 
14210.0 4.5189e-05 
14220.0 0.00011089 
14230.0 9.1813e-05 
14240.0 0.00010083 
14250.0 8.3493e-05 
14260.0 7.4763e-05 
14270.0 5.0325e-05 
14280.0 6.2898e-05 
14290.0 4.6153e-05 
14300.0 4.4617e-05 
14310.0 0.00010032 
14320.0 2.9907e-05 
14330.0 4.9851e-05 
14340.0 0.0001129  
14350.0 3.714e-05  
14360.0 8.9851e-05 
14370.0 8.7751e-05 
14380.0 0.00013135 
14390.0 0.00014146 
14400.0 7.427e-05  
14410.0 5.0616e-05 
14420.0 8.0358e-06 
14430.0 5.9012e-05 
14440.0 9.898e-05  
14450.0 7.9249e-05 
14460.0 0.00010757 
14470.0 9.6055e-05 
14480.0 0.00012985 
14490.0 4.964e-05  
14500.0 8.7265e-05 
14510.0 4.1301e-05 
14520.0 0.00012178 
14530.0 7.9587e-05 
14540.0 6.1997e-05 
14550.0 0.00014285 
14560.0 0.00012098 
14570.0 0.00011307 
14580.0 5.4567e-05 
14590.0 7.9106e-05 
14600.0 6.6909e-05 
14610.0 0.00015852 
14620.0 4.993e-05  
14630.0 0.00010479 
14640.0 3.3215e-05 
14650.0 3.3508e-05 
14660.0 7.9756e-05 
14670.0 2.9347e-05 
14680.0 2.8214e-05 
14690.0 4.03e-07   
14700.0 2.6527e-05 
14710.0 0.00010832 
14720.0 5.3489e-05 
14730.0 9.1717e-05 
14740.0 4.6099e-05 
14750.0 7.9564e-05 
14760.0 7.5218e-05 
14770.0 3.7296e-05 
14780.0 7.9168e-05 
14790.0 0.00011244 
14800.0 0.00012974 
14810.0 0.00012473 
14820.0 0.00012471 
14830.0 9.6939e-05 
14840.0 0.00011278 
14850.0 4.198e-05  
14860.0 5.8072e-05 
14870.0 6.7509e-05 
14880.0 0.00010459 
14890.0 0.00012976 
14900.0 6.3002e-05 
14910.0 0.00011704 
14920.0 5.0137e-05 
14930.0 8.3767e-05 
14940.0 5.8996e-05 
14950.0 0.00010026 
14960.0 0.00011707 
14970.0 8.2029e-06 
14980.0 9.6929e-05 
14990.0 0.00013078 
15000.0 0.00013927 
15010.0 6.7513e-05 
15020.0 2.6331e-05 
15030.0 9.6445e-05 
15040.0 0.00011494 
15050.0 0.0001184  
15060.0 7.989e-05  
15070.0 7.9069e-05 
15080.0 9.8575e-05 
15090.0 8.0094e-05 
15100.0 9.2825e-05 
15110.0 8.8044e-05 
15120.0 6.2189e-05 
15130.0 0.0001131  
15140.0 4.6631e-05 
15150.0 0.0001207  
15160.0 3.7761e-05 
15170.0 5.4481e-05 
15180.0 8.3729e-05 
15190.0 0.00012168 
15200.0 6.6907e-05 
15210.0 7.9571e-05 
15220.0 5.4726e-05 
15230.0 5.8756e-05 
15240.0 0.0001081  
15250.0 5.8814e-05 
15260.0 7.6563e-05 
15270.0 9.6396e-05 
15280.0 7.4692e-05 
15290.0 0.00010416 
15300.0 1.4012e-05 
15310.0 6.5861e-05 
15320.0 0.0001079  
15330.0 0.00010578 
15340.0 0.00015098 
15350.0 9.6217e-05 
15360.0 0.00012451 
15370.0 5.5159e-05 
15380.0 6.7248e-05 
15390.0 6.2501e-05 
15400.0 8.8246e-05 
15410.0 6.68e-05   
15420.0 6.2906e-05 
15430.0 4.6153e-05 
15440.0 7.5516e-05 
15450.0 0.00015971 
15460.0 0.00011324 
15470.0 5.475e-05  
15480.0 7.9715e-05 
15490.0 0.00014291 
15500.0 8.7043e-05 
15510.0 8.8122e-05 
15520.0 9.3476e-05 
15530.0 0.00010047 
15540.0 0.00011936 
15550.0 5.4742e-05 
